"n","Worst Case","Random Case","Best Case"
"0","0","0","0"
"1000","49","2","0"
"2000","19","6","0"
"3000","26","13","0"
"4000","45","23","0"
"5000","71","36","0"
"6000","103","51","1"
"7000","139","70","0"
"8000","181","91","0"
"9000","231","116","0"
"10000","284","143","0"
"11000","344","173","0"
"12000","409","206","0"
"13000","480","241","0"
"14000","557","281","0"
"15000","639","322","0"
"16000","727","366","0"
"17000","824","414","0"
"18000","920","465","1"
"19000","1030","516","0"
"20000","1137","574","1"
"21000","1258","649","0"
"22000","1391","711","0"
"23000","1507","774","0"
"24000","1639","838","0"
"25000","1778","918","1"
"26000","1923","994","0"
"27000","2071","1073","1"
"28000","2228","1165","0"
"29000","2391","1250","1"
"30000","2558","1346","0"
"31000","2732","1440","0"
"32000","2910","1534","1"
"33000","3100","1623","0"
"34000","3288","1741","0"
"35000","3482","1847","0"
"36000","3689","1964","0"
"37000","3887","2075","0"
"38000","4105","2204","0"
"39000","4325","2326","1"
"40000","4542","2439","0"
"41000","4771","2556","1"
"42000","5015","2706","1"
"43000","5257","2849","1"
"44000","5505","2999","1"
"45000","5758","3159","1"
"46000","6026","3365","0"
"47000","6397","3481","0"
"48000","6550","3583","2"
"49000","6830","3729","0"
"50000","7107","3891","0"
"51000","7392","4054","0"
"52000","7688","4207","0"
"53000","7975","4387","1"
"54000","8280","4534","1"
"55000","8623","4732","1"
"56000","8917","4905","1"
"57000","9240","5101","1"
"58000","9582","5279","0"
"59000","9894","5489","1"
"60000","10228","5744","1"
"61000","10581","5880","0"
"62000","10933","6118","0"
"63000","11319","6274","0"
"64000","11676","6476","2"
"65000","12033","6692","1"
"66000","12388","6932","1"
"67000","12793","7147","1"
"68000","13164","7368","0"
"69000","13539","7555","0"
"70000","13937","7784","1"
"71000","14344","8127","1"
"72000","14754","8482","0"
"73000","15180","8605","1"
"74000","15612","9165","1"
"75000","16043","9022","0"
"76000","16448","9306","1"
"77000","16886","9579","0"
"78000","17353","10100","1"
"79000","17869","10438","0"
"80000","18748","10460","1"
"81000","18871","11222","1"
"82000","19341","11328","0"
"83000","19700","11211","0"
"84000","20118","11698","1"
"85000","20611","11685","1"
"86000","21136","12285","2"
"87000","21629","12587","1"
"88000","22097","13290","1"
"89000","22763","13112","1"
"90000","23280","13274","1"
"91000","23745","13810","0"
"92000","24407","13927","0"
"93000","24882","14765","1"
"94000","25393","14977","0"
"95000","26000","15064","1"
"96000","26455","15199","1"
"97000","27029","16311","1"
"98000","27645","17173","1"
"99000","28147","16981","0"
